#	Company	Symbol	Weight	      Price	Chg	% Chg
457	Solventum Corporation	SOLV	0.02%	   74.01	-1.88	(-2.48%)
458	Assurant, Inc.	AIZ	0.02%	   201.58	-2.48	(-1.22%)
459	Globe Life Inc.	GL	0.02%	   122.35	-2.22	(-1.78%)
460	Bunge Global Sa	BG	0.02%	   73.13	-1.28	(-1.72%)
461	Pinnacle West Capital Corporation	PNW	0.02%	   91.23	0.26	(0.29%)
462	News Corporation Class A	NWSA	0.02%	   26.77	-0.17	(-0.63%)
463	The Interpublic Group of Companies, Inc.	IPG	0.02%	   26.35	-0.96	(-3.52%)
464	Universal Health Services, Inc. Class B	UHS	0.02%	   166.61	-5.91	(-3.43%)
465	Paycom Software, Inc.	PAYC	0.02%	   206.56	-0.10	(-0.05%)
466	Bxp, Inc.	BXP	0.02%	   66.09	0.52	(0.79%)
467	Bio-Techne Corp.	TECH	0.02%	   60.24	1.77	(3.02%)
468	Henry Schein Inc	HSIC	0.02%	   69.94	-2.98	(-4.09%)
469	Ralph Lauren Corporation	RL	0.02%	   225.26	2.06	(0.92%)
470	Hormel Foods Corporation	HRL	0.02%	   29.22	-0.70	(-2.34%)
471	Albemarle Corporation	ALB	0.02%	   72.81	0.14	(0.19%)
472	Aes Corporation	AES	0.02%	   11.83	-0.16	(-1.33%)
473	Charles River Laboratories International, Inc.	CRL	0.02%	   170.59	3.96	(2.38%)
474	Dayforce, Inc.	DAY	0.02%	   53.33	-0.39	(-0.73%)
475	Norwegian Cruise Line Holdings Ltd.s	NCLH	0.02%	   19.01	0.24	(1.28%)
476	Hasbro, Inc.	HAS	0.02%	   61.86	-1.09	(-1.73%)
477	Enphase Energy, Inc.	ENPH	0.02%	   58.48	-2.35	(-3.86%)
478	Wynn Resorts Ltd	WYNN	0.02%	   85.67	-1.71	(-1.96%)
479	Walgreens Boots Alliance, Inc	WBA	0.02%	   11.20	-0.01	(-0.09%)
480	A.O. Smith Corporation	AOS	0.02%	   65.64	-1.47	(-2.19%)
481	Marketaxess Holdings Inc.	MKTX	0.02%	   206.95	-3.01	(-1.43%)
482	Match Group, Inc	MTCH	0.02%	   30.74	-0.62	(-1.98%)
483	The Mosaic Company	MOS	0.02%	   24.69	-0.17	(-0.68%)
